Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3723,3.21389,5.89891
0.05,6993,3.34459,5.84861
0.1,10684,3.2565,5.8239
0.15,20225,3.42209,5.8415
0.2,25133,3.36897,5.92525
0.25,30095,3.20207,5.99427
0.3,41164,3.35539,5.99117
0.35,50128,3.43795,5.99068
0.4,63027,3.25957,5.99434
0.45,73091,3.56414,5.92444
0.5,112185,3.51389,5.89526
0.55,197097,3.46982,6.26283
0.6,591305,3.69094,6.35508
0.65,1000709,4.10678,7.29431
0.7,1535744,4.95202,8.51016
0.75,2027771,6.09485,12.5992
0.8,3345517,8.11207,19.0473
0.85,4938278,11.1642,20.025
0.9,8292122,14.4004,22.4658
0.95,29890517,16.4414,25.4562
