Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3723,3.59472,5.02148
0.05,6993,2.83222,4.92393
0.1,10684,2.79702,4.99549
0.15,20225,2.74233,4.9486
0.2,25133,2.77381,5.02672
0.25,30095,3.53093,5.03477
0.3,41164,2.82449,5.04294
0.35,50128,2.80777,4.94425
0.4,63027,3.42507,5.09849
0.45,73091,2.93909,5.13419
0.5,112185,2.89119,5.1936
0.55,197097,3.01325,5.33241
0.6,591305,3.38574,5.94093
0.65,1000709,4.23289,6.62057
0.7,1535744,4.76951,7.665
0.75,2027771,5.92282,9.87933
0.8,3345517,7.99506,14.5177
0.85,4938278,11.2868,15.3544
0.9,8292122,13.7954,19.2152
0.95,29890517,16.1568,22.0416
