Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3265,8.79623,156.276
0.05,6247,9.63087,99.8393
0.1,9476,9.26723,105.528
0.15,18967,9.44785,80.8885
0.2,24592,10.458,105.876
0.25,29435,10.3134,106.27
0.3,38218,9.46588,105.913
0.35,48283,9.50649,101.168
0.4,59999,10.2502,105.91
0.45,72171,9.54815,150.938
0.5,104967,9.61282,104.818
0.55,193736,9.33295,102.674
0.6,600382,11.8452,161.096
0.65,1012501,9.76645,102.652
0.7,1551235,10.2146,108.099
0.75,2190997,9.94457,97.9043
0.8,3657838,9.06826,157.581
0.85,5185853,11.1899,91.1197
0.9,8605321,11.5651,83.1112
0.95,29973712,12.7866,72.9786
