Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3265,8.12969,150.785
0.05,6247,8.8749,97.9451
0.1,9476,8.4104,100.121
0.15,18967,8.68287,80.2047
0.2,24592,9.6074,101.077
0.25,29435,9.6667,100.768
0.3,38218,9.00642,100.775
0.35,48283,9.19145,102.253
0.4,59999,9.62186,100.43
0.45,72171,8.85409,141.852
0.5,104967,9.23872,100.099
0.55,193736,8.86783,96.3148
0.6,600382,10.6222,155.305
0.65,1012501,9.6445,98.8753
0.7,1551235,9.68608,107.479
0.75,2190997,9.68418,94.3852
0.8,3657838,8.66139,151.887
0.85,5185853,10.598,87.5828
0.9,8605321,10.9123,80.1147
0.95,29973712,10.6689,70.3591
