Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3264,8.63373,168.824
0.05,6246,9.22379,91.134
0.1,9476,8.80102,110.609
0.15,18967,9.21717,89.5379
0.2,24653,10.5065,100.666
0.25,29453,10.6007,93.7352
0.3,38383,9.50961,95.7294
0.35,48452,9.62679,117.227
0.4,60141,10.5248,110.052
0.45,72327,9.07277,158.664
0.5,108066,9.73975,99.435
0.55,195453,9.10339,98.7219
0.6,609177,12.6977,173.691
0.65,1017852,10.5976,107.247
0.7,1554463,10.6113,116.094
0.75,2210082,10.3921,104.622
0.8,3669543,9.48956,164.76
0.85,5215353,11.8404,96.7301
0.9,8613537,12.6924,86.8728
0.95,29973712,13.0236,76.2942
