Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,5111,12.3483,41.9142,25.5482,32.6175,8.62021,9.77803
0.05,8733,10.6129,12.5526,16.663,44.6258,8.68771,9.09329
0.1,18902,14.4046,23.5101,16.7292,27.1594,8.72599,10.1146
0.15,24095,13.5822,14.6916,30.9862,44.5625,8.61415,9.21648
0.2,28467,13.4659,42.4207,12.7671,44.6454,8.76564,9.28352
0.25,34406,14.1701,24.809,13.1462,15.1704,9.177,10.1814
0.3,38175,10.6858,14.882,15.3028,44.3873,8.70117,10.0469
0.35,49617,13.687,14.7784,29.9751,32.1211,8.27511,9.8762
0.4,57300,13.0092,42.0711,15.0778,16.7405,8.93437,9.91225
0.45,66891,14.5997,27.5692,24.4298,31.2955,9.39007,10.2638
0.5,75803,11.5934,15.0953,15.0216,32.2378,9.24929,10.2136
0.55,155948,14.0796,27.8917,15.6383,30.7375,9.17336,10.2616
0.6,513495,14.064,15.0172,30.1678,44.5902,9.84116,11.0782
0.65,837142,14.5689,15.5591,15.3095,41.7865,10.227,11.4365
0.7,1131193,14.2906,15.6301,44.2625,44.6333,9.27266,10.2108
0.75,1792210,15.0627,41.6901,15.2179,16.2925,8.60223,10.0403
0.8,2494223,13.9794,14.7407,15.3266,37.8925,10.0803,10.8493
0.85,3369017,13.4789,15.2927,16.9923,42.2669,10.2669,11.231
0.9,4814536,15.3072,22.633,20.938,43.2206,9.51991,10.4056
0.95,11845271,13.1675,13.4486,14.5067,30.2387,9.34962,9.70019
