Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3265,8.79623,156.276,8.63373,168.824,8.12969,150.785
0.05,6247,9.63087,99.8393,9.22379,91.134,8.8749,97.9451
0.1,9476,9.26723,105.528,8.80102,110.609,8.4104,100.121
0.15,18967,9.44785,80.8885,9.21717,89.5379,8.68287,80.2047
0.2,24592,10.458,105.876,10.5065,100.666,9.6074,101.077
0.25,29435,10.3134,106.27,10.6007,93.7352,9.6667,100.768
0.3,38218,9.46588,105.913,9.50961,95.7294,9.00642,100.775
0.35,48283,9.50649,101.168,9.62679,117.227,9.19145,102.253
0.4,59999,10.2502,105.91,10.5248,110.052,9.62186,100.43
0.45,72171,9.54815,150.938,9.07277,158.664,8.85409,141.852
0.5,104967,9.61282,104.818,9.73975,99.435,9.23872,100.099
0.55,193736,9.33295,102.674,9.10339,98.7219,8.86783,96.3148
0.6,600382,11.8452,161.096,12.6977,173.691,10.6222,155.305
0.65,1012501,9.76645,102.652,10.5976,107.247,9.6445,98.8753
0.7,1551235,10.2146,108.099,10.6113,116.094,9.68608,107.479
0.75,2190997,9.94457,97.9043,10.3921,104.622,9.68418,94.3852
0.8,3657838,9.06826,157.581,9.48956,164.76,8.66139,151.887
0.85,5185853,11.1899,91.1197,11.8404,96.7301,10.598,87.5828
0.9,8605321,11.5651,83.1112,12.6924,86.8728,10.9123,80.1147
0.95,29973712,12.7866,72.9786,13.0236,76.2942,10.6689,70.3591
