Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3723,3.59472,5.02148,3.21389,5.89891,4.80082,6.06122
0.05,6993,2.83222,4.92393,3.34459,5.84861,4.80324,6.07265
0.1,10684,2.79702,4.99549,3.2565,5.8239,4.86918,6.05168
0.15,20225,2.74233,4.9486,3.42209,5.8415,4.80078,6.02647
0.2,25133,2.77381,5.02672,3.36897,5.92525,4.83996,6.08089
0.25,30095,3.53093,5.03477,3.20207,5.99427,4.8383,6.11867
0.3,41164,2.82449,5.04294,3.35539,5.99117,4.81795,6.14293
0.35,50128,2.80777,4.94425,3.43795,5.99068,4.83639,6.11365
0.4,63027,3.42507,5.09849,3.25957,5.99434,4.9161,6.10698
0.45,73091,2.93909,5.13419,3.56414,5.92444,4.88871,6.15401
0.5,112185,2.89119,5.1936,3.51389,5.89526,4.89037,6.15816
0.55,197097,3.01325,5.33241,3.46982,6.26283,5.03025,6.34372
0.6,591305,3.38574,5.94093,3.69094,6.35508,5.30343,7.15647
0.65,1000709,4.23289,6.62057,4.10678,7.29431,5.97417,7.71749
0.7,1535744,4.76951,7.665,4.95202,8.51016,6.75648,9.14919
0.75,2027771,5.92282,9.87933,6.09485,12.5992,7.15159,11.1499
0.8,3345517,7.99506,14.5177,8.11207,19.0473,9.09056,17.6876
0.85,4938278,11.2868,15.3544,11.1642,20.025,12.9603,18.3926
0.9,8292122,13.7954,19.2152,14.4004,22.4658,15.3845,22.4609
0.95,29890517,16.1568,22.0416,16.4414,25.4562,17.1694,25.2539
