Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3962,1.10101,12.4925
0.05,7173,1.1613,11.9929
0.1,12788,1.13521,12.5088
0.15,21376,1.0594,6.49821
0.2,25906,1.12393,12.4942
0.25,31886,1.08527,5.46536
0.3,40787,1.13975,10.4904
0.35,49524,1.1118,8.13553
0.4,61446,1.09466,6.19703
0.45,72701,1.08212,6.52864
0.5,120770,1.0673,13.9809
0.55,207822,1.09527,8.00512
0.6,573883,1.1446,12.4402
0.65,1007828,1.1047,12.4148
0.7,1501739,1.10568,5.27012
0.75,2066427,1.09657,5.38094
0.8,3613279,1.12551,10.2016
0.85,5281593,1.09797,6.45493
0.9,8532539,1.1491,10.4998
0.95,29480268,1.17341,5.69223
