Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3962,1.11897,12.5138
0.05,7173,1.16738,12.5082
0.1,12788,1.12748,20.0034
0.15,21376,1.05678,12.5032
0.2,25906,1.12245,19.9826
0.25,31886,1.07704,12.4906
0.3,40787,1.13419,19.9805
0.35,49524,1.11694,19.978
0.4,61446,1.09804,12.4859
0.45,72701,1.092,19.9756
0.5,120770,1.06745,19.9704
0.55,207822,1.09889,19.9508
0.6,573883,1.144,12.4598
0.65,1007828,1.10262,12.4148
0.7,1501739,1.11083,12.3493
0.75,2066427,1.08569,5.03504
0.8,3613279,1.12767,19.439
0.85,5281593,1.10096,19.171
0.9,8532539,1.13448,18.7421
0.95,29480268,1.18759,17.625
