Link,ECMP,UCMP,Ours
176-177,6.846066191792488,17.51360256174529,11.846330698982284
176-178,5.615653845204695,17.216113184553546,0.0
176-179,10.671614437691264,0.0,20.344865528514255
176-180,11.138086237416074,0.0,14.956079831195845
176-181,27.02066862351588,0.0,17.76352518464665
176-182,30.386483900853108,0.0,9.753101757047949
