Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3454,6.81557,70.4535
0.05,6900,5.92674,69.3685
0.1,10061,7.0385,68.9881
0.15,19981,6.90074,70.3829
0.2,25196,7.23065,59.0832
0.25,29721,8.08547,69.7359
0.3,39598,6.85674,72.2693
0.35,49211,7.54834,68.9483
0.4,60240,6.46539,70.342
0.45,71998,7.13026,68.5899
0.5,105006,7.97414,70.2384
0.55,192429,7.39414,66.4511
0.6,544873,6.30227,69.342
0.65,929506,7.07269,66.8679
0.7,1486472,7.97324,84.4049
0.75,1987837,8.27716,75.5533
0.8,3433240,8.02828,78.196
0.85,5087900,6.96922,72.4152
0.9,8531186,7.48704,80.2141
0.95,29885803,6.90382,48.4053
