Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3454,6.71139,80.432
0.05,6900,6.25531,84.7825
0.1,10061,6.70106,76.4554
0.15,19981,6.94991,80.9922
0.2,25196,7.0002,58.2274
0.25,29721,8.40328,81.2484
0.3,39598,6.92639,80.849
0.35,49211,7.63187,80.4327
0.4,60240,6.81908,80.1905
0.45,71998,7.12269,77.5896
0.5,105006,8.19847,81.1096
0.55,192429,7.62402,77.5221
0.6,544873,6.78956,77.0443
0.65,929506,7.64472,77.9731
0.7,1486472,7.7738,77.4431
0.75,1987837,8.5638,77.981
0.8,3433240,8.20456,73.5394
0.85,5087900,6.90735,68.7176
0.9,8531186,7.56134,93.2824
0.95,29885803,7.13045,54.7245
