Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3256,4.79732,5.98602
0.05,6542,4.84244,6.02065
0.1,9914,4.83303,6.03328
0.15,19747,4.87227,6.11375
0.2,24719,4.91814,6.13408
0.25,29302,4.98215,6.25843
0.3,38403,5.0229,6.35165
0.35,48081,5.07128,6.44697
0.4,59345,5.14464,6.63576
0.45,70815,5.20112,6.6361
0.5,101728,5.28148,7.00041
0.55,186633,5.7838,7.63599
0.6,553687,7.04689,11.5134
0.65,944202,11.9223,18.2611
0.7,1438874,16.4405,24.3173
0.75,1959688,21.1753,30.5219
0.8,3368875,27.688,44.4992
0.85,4902137,35.7599,57.5502
0.9,8510883,44.3135,64.4491
0.95,29961509,46.7585,64.7763
