Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3256,2.74543,4.96799
0.05,6542,2.76626,4.97958
0.1,9914,2.76547,5.02793
0.15,19747,2.83144,5.06338
0.2,24719,2.89571,5.12338
0.25,29302,2.89653,5.22801
0.3,38403,3.19861,5.2646
0.35,48081,3.37318,5.41085
0.4,59345,3.25337,5.37646
0.45,70815,3.39652,5.73892
0.5,101728,3.36965,6.1692
0.55,186633,4.08131,6.85863
0.6,553687,5.30307,11.0717
0.65,944202,10.3105,15.9067
0.7,1438874,14.8373,21.88
0.75,1959688,19.7761,27.3217
0.8,3368875,27.4243,37.8546
0.85,4902137,37.4616,48.6342
0.9,8510883,44.6086,61.292
0.95,29961509,49.743,61.8251
