Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3535,1.22704,11.0032
0.05,6699,1.18416,10.8205
0.1,9806,1.2663,9.27073
0.15,18830,1.1978,10.9981
0.2,23975,1.23648,11.0093
0.25,28686,1.18465,10.8399
0.3,37214,1.36844,11.0267
0.35,47255,1.2281,10.9632
0.4,58711,1.20242,10.9615
0.45,70619,1.28258,10.9135
0.5,110827,1.22991,10.878
0.55,182962,1.24898,10.9223
0.6,530943,1.23325,10.8514
0.65,958213,1.21385,10.5456
0.7,1474237,1.21232,10.127
0.75,1963887,1.21896,10.6982
0.8,3371149,1.19318,10.3367
0.85,4883577,1.26199,10.3235
0.9,8217855,1.39759,11.5923
0.95,29682517,1.60026,8.09625
