Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3535,1.18745,12.5185
0.05,6699,1.16437,12.4936
0.1,9806,1.23457,12.5089
0.15,18830,1.19757,11.6182
0.2,23975,1.22707,12.4976
0.25,28686,1.16941,12.5185
0.3,37214,1.33049,12.523
0.35,47255,1.19682,12.4993
0.4,58711,1.17694,12.5204
0.45,70619,1.27244,12.5019
0.5,110827,1.22469,11.7096
0.55,182962,1.25295,12.5313
0.6,530943,1.22058,12.4814
0.65,958213,1.18535,12.4213
0.7,1474237,1.19081,19.6977
0.75,1963887,1.18647,11.3726
0.8,3371149,1.16367,12.1182
0.85,4883577,1.22431,12.0984
0.9,8217855,1.32562,18.8748
0.95,29682517,1.58168,11.3233
