Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3535,1.19116,12.5185
0.05,6699,1.14693,11.9922
0.1,9806,1.2817,12.0192
0.15,18830,1.19198,10.8629
0.2,23975,1.26438,11.728
0.25,28686,1.14521,10.8477
0.3,37214,1.36334,14.0143
0.35,47255,1.2606,11.0619
0.4,58711,1.19182,10.8864
0.45,70619,1.3132,10.8584
0.5,110827,1.23629,11.8151
0.55,182962,1.29498,10.8704
0.6,530943,1.22229,11.5863
0.65,958213,1.19773,13.9086
0.7,1474237,1.18317,10.9944
0.75,1963887,1.18579,10.8566
0.8,3371149,1.13532,10.7941
0.85,4883577,1.25086,11.9917
0.9,8217855,1.40034,13.2221
0.95,29682517,1.63047,9.37559
