Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0,3115,6.61575,11.5662,10.4941,50.0073,28.4039,51.2194
0.05,6614,6.99751,11.6473,10.7471,50.2717,28.2019,51.2373
0.1,9952,7.01828,11.6304,9.70981,50.0872,28.2073,51.19
0.15,19654,6.68919,12.3705,10.0722,50.3129,28.1888,51.229
0.2,24523,6.92678,11.6719,10.1378,50.2748,28.1844,51.2124
0.25,29565,6.64604,11.6002,10.4537,50.3587,28.4281,51.2519
0.3,38967,6.752,11.7059,10.6115,50.2986,28.3868,51.2563
0.35,48789,6.67246,11.7368,9.97551,50.3021,28.2125,51.2269
0.4,59837,6.67032,11.692,10.4717,50.4541,28.1718,51.2497
0.45,71278,6.82042,11.7315,10.8423,50.4246,28.2542,51.3104
0.5,110788,6.68595,11.8252,10.4708,50.4275,28.2387,51.322
0.55,200296,7.25301,13.3363,10.7793,50.9915,28.377,51.3627
0.6,585618,6.95469,12.573,12.2764,52.744,28.4213,51.7107
0.65,988712,7.35385,13.3496,14.0565,54.8495,28.5125,52.1633
0.7,1437999,7.95573,14.3078,17.2605,56.9553,29.0714,52.5974
0.75,1925970,8.49866,15.2385,18.9363,59.7443,29.2141,52.7918
0.8,3199068,9.4209,16.7192,23.794,62.8479,29.5229,53.4934
0.85,4791242,12.3838,19.2652,28.7813,65.5594,30.6453,54.8856
0.9,8368643,13.892,22.7645,34.2332,67.1087,31.4344,55.8261
0.95,29922550,14.8335,29.4804,36.1645,67.4909,31.0558,54.1547
