Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3436,4.64399,50.1119
0.05,6819,4.02895,51.4287
0.1,10939,4.58572,40.4406
0.15,20807,4.58062,41.2705
0.2,26075,5.00513,33.1157
0.25,33091,4.94145,45.0989
0.3,42367,3.76118,40.6484
0.35,52369,4.23001,45.3265
0.4,63918,5.38,48.486
0.45,76050,4.22061,72.8091
0.5,143042,5.16856,69.7556
0.55,316650,4.62634,40.0297
0.6,695667,4.34984,47.3799
0.65,1109777,4.25504,32.5626
0.7,1577162,3.82222,39.7955
0.75,2037696,4.44521,28.9171
0.8,3434651,4.13173,40.3033
0.85,4913421,4.03209,34.4972
0.9,8219798,4.43962,35.584
0.95,29473042,4.75962,28.4635
