Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3436,4.28594,52.5453
0.05,6819,3.55343,52.6208
0.1,10939,4.68274,40.5534
0.15,20807,4.68757,39.2389
0.2,26075,5.06815,37.1168
0.25,33091,4.99251,49.4576
0.3,42367,3.15683,40.7318
0.35,52369,3.49451,49.8199
0.4,63918,5.05091,48.3745
0.45,76050,3.96572,73.4314
0.5,143042,5.04713,66.3139
0.55,316650,4.28096,43.2587
0.6,695667,4.11726,49.6053
0.65,1109777,4.14528,34.153
0.7,1577162,3.73116,44.1518
0.75,2037696,4.08549,30.4997
0.8,3434651,3.74141,41.1253
0.85,4913421,3.88322,34.2988
0.9,8219798,4.15476,35.5044
0.95,29473042,4.85229,28.8405
