Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3119,1.1806,13.3402
0.05,6577,1.16895,13.2076
0.1,9903,1.22752,13.1659
0.15,19082,1.25665,13.3256
0.2,24517,1.22248,13.4501
0.25,29249,1.20355,13.0599
0.3,37973,1.28637,13.4865
0.35,49308,1.22778,16.3939
0.4,60308,1.1935,13.2086
0.45,71210,1.26375,13.5127
0.5,101830,1.28549,13.2532
0.55,187211,1.2915,14.0586
0.6,541782,1.25698,13.3783
0.65,942258,1.26412,13.3797
0.7,1506547,1.30209,13.1658
0.75,1985693,1.28958,13.0975
0.8,3412558,1.37839,12.9613
0.85,4939783,1.51024,12.7748
0.9,8479704,1.52969,12.2173
0.95,29894095,1.84784,12.3941
