Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3119,1.16899,19.9877
0.05,6577,1.16039,13.6935
0.1,9903,1.19921,13.5326
0.15,19082,1.22537,19.9847
0.2,24517,1.22737,13.8851
0.25,29249,1.19101,19.983
0.3,37973,1.25152,19.9816
0.35,49308,1.17164,19.9896
0.4,60308,1.1887,13.8973
0.45,71210,1.25394,20.0004
0.5,101830,1.27576,19.9684
0.55,187211,1.26125,19.9618
0.6,541782,1.21883,12.5089
0.65,942258,1.23062,19.9105
0.7,1506547,1.31673,13.0167
0.75,1985693,1.28766,19.7098
0.8,3412558,1.36094,13.3596
0.85,4939783,1.52692,12.5768
0.9,8479704,1.53868,12.8616
0.95,29894095,1.81801,18.1348
