Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3533,3.20332,5.7521
0.05,6784,3.28089,5.78942
0.1,9717,3.33553,5.84062
0.15,17948,3.23322,5.9563
0.2,24146,3.24349,5.73573
0.25,29174,3.43688,5.98988
0.3,38947,3.27863,5.96512
0.35,48521,3.38793,5.82885
0.4,59859,3.51422,6.09805
0.45,71535,3.48861,6.05953
0.5,104001,3.5291,6.13627
0.55,192392,3.66217,6.64581
0.6,543411,4.3058,7.49898
0.65,975205,5.99478,10.647
0.7,1500577,9.14056,17.1387
0.75,2131318,12.2706,20.1331
0.8,3429510,16.7121,31.9696
0.85,4902278,21.4576,38.4203
0.9,8255895,25.2491,41.3179
0.95,29364134,29.4322,40.8613
