Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3533,4.78679,5.99367
0.05,6784,4.77099,6.04859
0.1,9717,4.82436,6.02095
0.15,17948,4.82628,6.0504
0.2,24146,4.86461,6.08085
0.25,29174,4.97628,6.14683
0.3,38947,4.90519,6.15723
0.35,48521,4.92545,6.18738
0.4,59859,4.94371,6.21205
0.45,71535,5.02607,6.27002
0.5,104001,5.06571,6.37582
0.55,192392,5.29723,6.75166
0.6,543411,6.03822,8.14715
0.65,975205,7.27522,10.7547
0.7,1500577,9.59916,17.1841
0.75,2131318,14.1959,18.7635
0.8,3429510,17.5304,24.1672
0.85,4902278,22.924,29.682
0.9,8255895,26.3037,38.2598
0.95,29364134,30.7824,38.0332
